question,choice_a,choice_b,choice_c,choice_d,answer,score,explanation
สูตร Prompt แบบ R-T-F หมายถึงอะไร,Role-Task-Format,Read-Test-Fix,Run-Table-File,Role-Time-File,ก,1,Role-Task-Format เป็นโครงง่ายสำหรับสั่ง AI
ถ้าต้องการให้ AI เขียนอีเมลสุภาพ ควรระบุอะไร,ผู้รับ วัตถุประสงค์ น้ำเสียง และความยาว,เฉพาะคำว่าเขียนอีเมล,ข้อมูลลับของทุกฝ่าย,ไม่ต้องระบุบริบท,ก,1,บริบทและน้ำเสียงทำให้อีเมลเหมาะกับสถานการณ์
การสรุปเอกสารประชุมควรให้ AI ส่งออกเป็นรูปแบบใดจึงอ่านง่าย,หัวข้อสำคัญ มติ งานที่ต้องทำ ผู้รับผิดชอบ,ย่อหน้าเดียวไม่มีหัวข้อ,คำตอบเป็นภาษาใดก็ได้,ตัวเลขสุ่ม,ก,1,สรุปประชุมควรแยกประเด็นและ action item ชัดเจน
การปรับภาษาจาก AI ควรขออะไรเพิ่ม,ระดับภาษาและกลุ่มผู้อ่าน,ให้ยาวที่สุด,ให้ตัดข้อมูลสำคัญ,ให้แปลโดยไม่ตรวจ,ก,1,ภาษาต้องเหมาะกับผู้รับสาร
ข้อใดคือ Prompt ที่ชัดเจนกว่า,ช่วยเขียนรายงาน,คุณเป็นเจ้าหน้าที่ธุรการ ช่วยร่างรายงานประชุม 1 หน้า ภาษาเป็นทางการ มีหัวข้อวาระ มติ และงานต่อไป,ทำให้ดี,เขียนอะไรก็ได้,ข,1,Prompt ระบุบทบาท งาน รูปแบบ และข้อจำกัดชัดเจน
เมื่อใช้ AI สรุปไฟล์ยาว ควรตรวจอะไร,สาระสำคัญไม่หายและไม่มีข้อมูลแต่งเพิ่ม,จำนวนคำมากที่สุด,ความเร็วอย่างเดียว,สีตัวอักษร,ก,1,สรุปต้องถูกต้อง ครบ และไม่แต่งข้อเท็จจริง
ข้อใดเป็นการทำข้อมูลให้ปลอดภัยก่อนส่งเข้า AI,แทนชื่อจริงด้วยรหัส เช่น ผู้เรียน A,ใส่เบอร์โทรทุกคน,ใส่เลขบัญชี,ส่งไฟล์ทั้งระบบ,ก,1,การไม่ระบุตัวตนลดความเสี่ยงข้อมูลส่วนบุคคล
AI เหมาะกับงานใดในเอกสารสำนักงาน,ช่วยร่างและตรวจสำนวน,อนุมัติเอกสารแทนหัวหน้า,รับรองข้อเท็จจริงโดยไม่ตรวจ,เปิดเผยข้อมูลลับ,ก,1,AI ช่วยงานร่างและปรับแก้ได้ แต่การอนุมัติเป็นหน้าที่มนุษย์
Output format ใน Prompt คืออะไร,รูปแบบคำตอบที่ต้องการ เช่น ตาราง bullet หรือรายงาน,ชื่อเครื่องคอมพิวเตอร์,รหัสผ่าน,เวลาที่ใช้,ก,1,การระบุรูปแบบช่วยให้ผลลัพธ์พร้อมใช้งาน
ถ้าผลลัพธ์ AI ยังไม่ดี ควรทำอย่างไร,ปรับ Prompt เพิ่มตัวอย่างและข้อจำกัด,ยอมรับทันที,ลบทิ้งเสมอ,ส่งข้อมูลลับเพิ่ม,ก,1,การปรับ Prompt เป็นกระบวนการทดลองและปรับปรุง
